,project_id,year_start,year_finish,sector,total_ammount,province,duration_days,status,region
319,162344,2021,2022,Water and Sewer,578800745.0,buenos aires,525,Finished,Buenos Aires
320,162345,2021,2022,Water and Sewer,79032594.0,buenos aires,367,Finished,Buenos Aires
321,162353,2022,2024,Water and Sewer,10439931160.0,buenos aires,750,In progress,Buenos Aires
322,162359,2021,2023,Water and Sewer,1491874354.0,buenos aires,720,In progress,Buenos Aires
323,162363,2021,2021,Water and Sewer,138323344.0,buenos aires,273,Finished,Buenos Aires
324,162364,2021,2022,Water and Sewer,203439255.0,buenos aires,528,Finished,Buenos Aires
325,162368,2021,2023,Water and Sewer,561972919.0,buenos aires,652,Finished,Buenos Aires
326,162387,2021,2022,Water and Sewer,347915190.0,buenos aires,379,Finished,Buenos Aires
327,162443,2021,2023,Water and Sewer,1007925759.0,buenos aires,750,In progress,Buenos Aires
328,162476,2021,2022,Water and Sewer,137260862.0,buenos aires,533,Finished,Buenos Aires
329,162486,2021,2023,Water and Sewer,1341090047.0,buenos aires,699,In progress,Buenos Aires
330,162501,2022,2023,Water and Sewer,1216659873.0,buenos aires,630,In progress,Buenos Aires
331,162521,2022,2023,Water and Sewer,1451495130.0,buenos aires,545,In progress,Buenos Aires
332,162522,2021,2023,Water and Sewer,659331737.0,buenos aires,1029,In progress,Buenos Aires
333,162529,2021,2023,Water and Sewer,1698350211.0,buenos aires,668,Finished,Buenos Aires
334,162540,2021,2024,Water and Sewer,1571638433.0,buenos aires,869,In progress,Buenos Aires
335,162542,2021,2022,Water and Sewer,95987972.0,buenos aires,363,In progress,Buenos Aires
336,162543,2021,2023,Water and Sewer,500398123.0,buenos aires,777,Finished,Buenos Aires
337,162553,2021,2024,Water and Sewer,344226790.0,buenos aires,960,In progress,Buenos Aires
338,162558,2021,2023,Water and Sewer,365415183.0,buenos aires,719,Finished,Buenos Aires
339,162559,2021,2022,Water and Sewer,273103802.0,buenos aires,393,Finished,Buenos Aires
340,162560,2021,2022,Water and Sewer,289485801.0,buenos aires,397,Finished,Buenos Aires
341,162561,2021,2022,Water and Sewer,60828626.0,buenos aires,319,Finished,Buenos Aires
342,162562,2021,2022,Water and Sewer,68896698.0,buenos aires,287,Finished,Buenos Aires
343,162564,2021,2022,Water and Sewer,213675549.0,buenos aires,515,Finished,Buenos Aires
344,162574,2021,2023,Water and Sewer,81549282.0,buenos aires,697,In progress,Buenos Aires
345,162576,2019,2021,Water and Sewer,36640585.0,buenos aires,897,Finished,Buenos Aires
346,162577,2021,2022,Water and Sewer,252714753.0,buenos aires,455,Finished,Buenos Aires
347,162680,2021,2022,Water and Sewer,19218158.0,buenos aires,377,Finished,Buenos Aires
348,162689,2021,2022,Water and Sewer,87200297.0,buenos aires,320,Finished,Buenos Aires
349,162690,2021,2022,Water and Sewer,373546548.0,buenos aires,420,Finished,Buenos Aires
350,162703,2021,2021,Water and Sewer,3160000.0,buenos aires,25,Finished,Buenos Aires
351,162709,2021,2022,Water and Sewer,29535230.0,buenos aires,251,Finished,Buenos Aires
352,162712,2021,2023,Water and Sewer,939955579.0,buenos aires,698,Finished,Buenos Aires
353,162713,2021,2023,Water and Sewer,101214361.0,buenos aires,811,In progress,Buenos Aires
